Titular,Categoria,predicted_categoria
Marcela mar: 'me puse implantes a los 19 anos para sobrevivir y encajar en la television... estamos sexualizadas. vivimos en una sociedad obsesionada con la juventud',Bocas,Bocas
(video) transmilenio 'acuatico': vias de soacha se inundaron tras fuertes e intensas lluvias en bogota,Bogota,Bogota
Chingaza bajo y rompio la racha ascendente que mantiene a la expectativa a bogota por racionamiento de agua; estos son sus niveles,Bogota,Bogota
"El colapso de un edificio tiene en alerta a los habitantes de campo alegre, en barranquilla: mujer atrapada fue hallada muerta",Colombia/barranquilla,Colombia/barranquilla
Videos e imagenes del dramatico rescate de atrapados por colapso de edificio en barranquilla; hombre gritaba desesperado: '¡ayudenme!',Colombia/barranquilla,Bogota
Encontraron un cuerpo sin vida dentro del baul de un taxi en la via cali   candelaria: la victima seria un taxista,Colombia/cali,Mundo/new york times international weekly
"'yo lo entregue': asi cayo wilton saenz, padrastro de sara camacho, acusado de asesinar a la nina en guamal, meta",Colombia/otras ciudades,Mundo/europa
Asi culminaron las marchas en contra del gobierno gustavo petro en colombia,Colombia/santander,Colombia/santander
La musica detras de ‘florecita rockera’: una oda a aterciopelados y a la bogota de los anos 90,Cultura/arte y teatro,Opinion/analisis
Colombiana se sorprende por lo que pasa los domingos en espana: 'las tres de la tarde y parecen las seis de la manana',Cultura/gente,Cultura/gente
"Despues de adquirir la obra de arte de la banana, que costo 6,2 millones de dolares, coleccionista planea comprar ahora 100.000 unidades mas de esta fruta: ¿por que?",Cultura/gente,Vida/viajar
El efecto que tendria en su salud de sus rinones si consume pistachos todos los dias,Cultura/gente,Cultura/gente
El ingrediente que debe ponerle a las lentejas para potenciar sus beneficios a la salud: lo revelo un medico,Cultura/gente,Mundo/eeuu y canada
El jugo que debe tomar en el desayuno para bajar los trigliceridos: solo tiene cuatro ingredientes que se consiguen facil,Cultura/gente,Cultura/gente
El vuelo mas largo del mundo debuta en 2026 y permitira a los pasajeros ver el amanecer dos veces,Cultura/gente,Bogota
La planta con mala fama que cura el dolor muscular y aumenta el colageno,Cultura/gente,Cultura/gente
"Luisa fernanda w y pipe bueno venderan su ropa, hay prendas de marcas de lujo desde 5 mil pesos: lo que debe saber para comprar",Cultura/gente,Negocios/empresas
"Victoria kjaer, miss universo 2024: la foto de su adolescencia que ha generado polemica en las redes",Cultura/gente,Internacional
¿a cuantas abdominales equivale un minuto de plancha? el poder y efectividad de ese ejercicio para reducir barriga,Cultura/gente,Cultura/gente
¿a cuantas abdominales equivale un minuto de plancha? el poder y efectividad de ese ejercicio para reducir barriga,Cultura/gente,Cultura/gente
¿a que se dedica el padre 'chucho' en estados unidos tras irse de colombia por amenazas de muerte?,Cultura/gente,Cultura/gente
"¿que color de vela se prende este 1 de diciembre, el primer domingo de adviento? esta es la oracion y la forma de celebrar la llegada de la navidad",Cultura/gente,Bogota
Broadway es un ‘nuevo animal’ para sebastian yatra: 'me tengo que convertir en billy y ahi estar en el presente',Cultura/musica y libros,Negocios/empresas
Nueva polemica en la dimayor: eduardo pimentel acusa al presidente fernando jaramillo de tener 'manejos irregulares de dinero',Deportes/futbol colombiano,Economia/gobierno
"Fifa aprueba la candidatura a espana, portugal y marruecos para organizar el mundial 2030",Deportes/futbol internacional,Mas contenido
"Video | johan mojica, jugador de seleccion colombia, anoto golazo en insolito tiro libre indirecto y le dio agonico triunfo a mallorca",Deportes/futbol internacional,Deportes/futbol internacional
"¿que es mejor, ahorrar en pesos o en dolares? descubra la mejor alternativa en el momento",Economia/finanzas personales,Economia/finanzas
Irse para no volver: mas de mil personas se van cada dia de colombia para radicarse fuera del pais,Economia/sectores,Economia/sectores
Javier arguello: 'no estamos en condiciones de disenar una maquina que piensa',Lecturas dominicales,Lecturas dominicales
Cap 3. tacos y quesadillas para el barrio. caza cocinas 2,Mas contenido,Mas contenido
Caza cocinas   segunda temporada,Mas contenido,Mas contenido
Caza cocinas   segunda temporada,Mas contenido,Mas contenido
Estamos transformando la educacion en colombia: aprueba xtreme,Mas contenido,Mas contenido
Hasta personal de la onu huye ahora de haiti,Mundo/new york times international weekly,Sin categoría
"Exclusivo: nicolas maduro busca inhabilitar de por vida a los opositores, esta es la ley bolivar que se aprobo en venezuela",Mundo/venezuela,Mundo/new york times international weekly
La polemica detras del agendamiento de la reforma de la salud: la pelea en la mesa directiva de camara,Politica/congreso,Economia/gobierno
La marca JMC presentó su nueva línea de pick up y la primera eléctrica en el país,Sin categoría,Sin categoría
"Exclusivo: asi fueron las ultimas 24 horas de juan felipe, el asesinado hijo del inspector general de la policia",Unidad investigativa,Unidad investigativa
