Titular,Categoria,predicted_categoria
"'la rata' carvajal, el gran fotografo de caliwood: 'nuestras rumbas eran de dos y tres dias. nos toco la mejor epoca del rock, las mujeres mas lindas, y la mejor droga'",Bocas,Bocas
Bogota: grave siniestro vial se presento en la calle 183 con carrera 17 cuando un carro perdio el control y se volco tras chocar,Bogota,Bogota
Bogota: grave siniestro vial se presento en la calle 183 con carrera 17 cuando un carro perdio el control y se volco tras chocar,Bogota,Bogota
El asesinato del hijo de inspector de la policia: preguntas cruciales que deben esclarecerse,Bogota,Opinion/analisis
"Para prevenir el homicidio, las lesiones personales y el hurto a personas refuerzan seguridad con 800 oficiales de policia",Bogota,Economia/regiones
Leonor gonzalez mina: las vivencias que revelo la negra grande de colombia en una de las entrevistas a el tiempo,Colombia/cali,Cultura/gente
Asi culminaron las marchas en contra del gobierno gustavo petro en colombia,Colombia/santander,Colombia/santander
Asi culminaron las marchas en contra del gobierno gustavo petro en colombia,Colombia/santander,Colombia/santander
Asi culminaron las marchas en contra del gobierno gustavo petro en colombia,Colombia/santander,Colombia/santander
Atletico bucaramanga confirmo que rafael dudamel no continuara en el equipo como director tecnico: las razones,Colombia/santander,Economia/finanzas
Renting corporativo como respuesta a los retos de la movilidad empresarial,Contenido patrocinado,Contenido patrocinado
"'el dia que supe que estaba embarazada, tambien descubri que tenia cancer en etapa 4'",Cultura/gente,Cultura/gente
"Agua de limon con chia, una bebida rica en potasio y fibra que lo ayudara a desintoxicarse y verse mas joven",Cultura/gente,Cultura/gente
El efecto que tendria en su salud de sus rinones si consume pistachos todos los dias,Cultura/gente,Cultura/gente
El vuelo mas largo del mundo debuta en 2026 y permitira a los pasajeros ver el amanecer dos veces,Cultura/gente,Bogota
"La corona tv: marcela posada, actriz de 'yo soy betty, la fea', revelo que supero el cancer gracias a un milagro",Cultura/gente,Cultura/gente
Los mil dias en la infancia importantes para tener una buena salud bucal,Cultura/gente,Cultura/gente
Mujer quien se encontraba recluida en una carcel quedo embarazada de 'milagro': asi explico como tuvo un hijo sin contacto fisico,Cultura/gente,Sin categoría
"Ojo: los seis habitos de una persona con la que no deberia casarse, segun la psicologia",Cultura/gente,Cultura/gente
¿podria un aerosol nasal ser clave para retrasar la enfermedad de alzheimer?,Cultura/gente,Mas contenido
"En vivo: deportivo pasto vs. santa fe, siga el minuto a minuto en el grupo a de la liga betplay",Deportes/futbol colombiano,Deportes/futbol colombiano
"Jhon lucumi anota gol historico en la champions league: el colombiano se hizo presente, pero el bolonia perdio; video",Deportes/futbol internacional,Deportes/futbol internacional
"Video | racing, de los colombianos, campeon de la copa sudamericana: juanfer dio una asistencia, roger liquido el titulo continental con su golazo",Deportes/futbol internacional,Deportes/futbol internacional
Rafael nadal y su adios del tenis: el punto final de una carrera exitosa y legendaria,Deportes/tenis,Deportes/tenis
Siga en vivo la ceremonia de los premios portafolio 2024,Economia,Economia
¿busca trabajo en bogota? la alcaldia tiene esta plataforma para conseguirlo rapido,Economia/empleo,Economia/empleo
Alertan que estados financieros de las eps continuan empeorando,Economia/finanzas,Tendencias/sociales
Banco agrario: ¿como consultar mi giro de la renta ciudadana?,Economia/finanzas,Economia/finanzas
"¿que rumbo tomara el precio de la gasolina en colombia en 2025, segun chatgpt?",Economia/finanzas,Economia/finanzas
"Se les adelanto la navidad a 3 millones de hogares colombianos: manana pagan renta ciudadana y devolucion del iva, asi puede cobrarlos",Economia/finanzas personales,Economia/finanzas
"Cupo para obras por impuestos, en vilo por apretones de caja",Economia/gobierno,Economia/gobierno
Estos seran los siguientes corredores viales por los que el gobierno nacional cobrara valorizacion,Economia/sectores,Tecnologia
"Estos son los sectores mas afectados con el aumento en el recorte presupuestal que sera por un total de $ 28,4 billones",Economia/sectores,Economia/finanzas
Con su 'christmas wonderland' regresa la feria eva con mas de 420 emprendimientos,Emprendimiento,Emprendimiento
Entre 2028 y 2029 entraran en operacion tres proyectos de transmision energetica,Energia,Energia
Repsol vende a geopark dos activos en colombia por 500 millones de euros,Energia,Energia
¿que nos gustaria que pasara en colombia y el mundo antes de que se acabe el ano?,Foro w,Foro w
Este es el listado de los colombianos heridos en accidente de bus en francia,Internacional,Internacional
"Sandra ortiz respondio ante la imputacion de la fiscalia por caso ungrd: 'presentaron cargos, pero no pruebas'",Justicia/delitos,Justicia/delitos
"Lo que destapo la fiscalia contra carlos ramon gonzalez, exdirector del dapre, en audiencia de sandra ortiz",Justicia/investigacion,Justicia/delitos
"Presos en colombia, entre el hacinamiento y la extorsion: vea en realidad virtual como viven en estaciones de policia y carceles",Justicia/investigacion,Justicia/investigacion
Cap 3. tacos y quesadillas para el barrio. caza cocinas 2,Mas contenido,Mas contenido
Estamos transformando la educacion en colombia: aprueba xtreme,Mas contenido,Mas contenido
Pedaleando hacia el futuro: mas de 1000 bicicletas transforman la educacion en colombia,Mas contenido,Mas contenido
"Rentokil initial, pisando fuerte en el mercado de control de plagas",Mas contenido,Mas contenido
"Unitec, lider en la implementacion de modalidades educativas",Mas contenido,Mas contenido
Aportes a colpensiones: ¿que pasa con la pension de un jubilado cuando fallece?,Mis finanzas/jubilacion,Mis finanzas/jubilacion
Accidente aereo en estados unidos: piloto y perro perdieron la vida en una mision de rescate animal en nueva york,Mundo/eeuu y canada,Mundo/new york times international weekly
Vladimir putin habla sobre trump y dice que es 'inteligente' y que 'encontrara una solucion' a las relaciones bilaterales y a la guerra,Mundo/eeuu y canada,Mundo/europa
Modelo fue secuestrada con su esposo y su hija durante 12 horas: delincuentes le desocuparon las cuentas,Mundo/latinoamerica,Economia/gobierno
Un ano del ataque de hamas a israel y la guerra en gaza que reactivo el conflicto en oriente medio: libano bombardeado e iran en maxima alerta,Mundo/medio oriente,Mundo/medio oriente
"Identifican a jovenes colombianas, quienes fueron halladas muertas dentro de un motel de puebla, mexico: fallecieron por inhalacion de gases",Mundo/mexico,Mundo/mexico
Suplicio en gaza: hay miles de heridos y pocos pueden salir,Mundo/new york times international weekly,Opinion/analisis
Los planes de cementos argos tras vender su participacion en summit materials,Negocios/empresas,Negocios/empresas
¿con antojo de algo dulce? la marca de helados magnum llega a colombia,Negocios/empresas,Negocios/empresas
‘nefasto y costoso’: los reparos de los comerciantes al esquema de chatarrizacion,Negocios/empresas,Negocios/empresas
Educacion superior: motor de cambio social,Opinion/analisis,Opinion/analisis
Falto ‘tijera’,Opinion/editorial,Opinion/editorial
El proyecto para cerrarles las redes sociales a menores de 14 anos: ¿funciona o se queda en buena intencion?,Podcast/el cafe de hoy,Podcast/el cafe de hoy
"Adelina guerrero, esposa de armando benedetti, niega haber sido agredida por el exembajador, no obstante a denuncias ante autoridades espanolas",Politica/gobierno,Sin categoría
"Los jovenes de colombia quieren mas becas y financiacion para ir a la universidad, revela encuesta",Politica/partidos politicos,Unidad investigativa
Hay un musculo en la cara que puede predecir el riesgo de muerte prematura: estudio revela interesantes hallazgos,Salud,Cultura/gente
"Las perdidas de nueva eps serian de $ 4,4 billones de pesos para este ano: crecen criticas por medida de intervencion a la aseguradora",Salud,Salud
La marca JMC presentó su nueva línea de pick up y la primera eléctrica en el país,Sin categoría,Sin categoría
Llegó a Colombia la nueva Hyundai Tucson en modo híbrido,Sin categoría,Sin categoría
Turismo y sostenibilidad: cultura y territorializacion de la cop16,Sostenibilidad,Sostenibilidad
"Que es la carpeta ciudadana digital, para que sirve y que tramites se pueden hacer",Tendencias/sociales,Tendencias/sociales
Exclusivo: ninguna de las armas activadas el dia del asesinato del hijo del inspector general de la policia estaba registrada,Unidad investigativa,Opinion/analisis
Lo que dejo al descubierto la necropsia del hijo del general william rincon y lo que declaro su escolta,Unidad investigativa,Unidad investigativa
Cop16: esta semana se define el futuro de la biodiversidad; resumen y noticias en vivo de la cumbre de cali,Vida/medio ambiente,Vida/medio ambiente
Los colombianos que no necesitarian visa para reino unido solo si pueden demostrar estas condiciones familiares,Vida/viajar,Cultura/gente
