Titular,Categoria,predicted_categoria
Construir un gran lugar para trabajar impulsa el desarrollo del pais,Contenido patrocinado,Negocios/empresas
Q10: el software academico lider en latinoamerica expande su oferta,Contenido patrocinado,Contenido patrocinado
Q10: el software academico lider en latinoamerica expande su oferta,Contenido patrocinado,Contenido patrocinado
Siga en vivo la ceremonia de los premios portafolio 2024,Economia,Economia
Gobierno establece mesas de dialogo para mejorar competitividad del campo,Economia/agro,Economia/agro
Estos son los departamentos donde la dian esta buscando ampliar su personal,Economia/empleo,Negocios/empresas
Alertan que estados financieros de las eps continuan empeorando,Economia/finanzas,Tendencias/sociales
Banco agrario: ¿como consultar mi giro de renta ciudadana?,Economia/finanzas,Economia/finanzas
Banco agrario: ¿como consultar un giro de renta ciudadana?,Economia/finanzas,Economia/finanzas
Devolucion de iva 2024: el link para consultar si es beneficiario con su cedula,Economia/finanzas,Economia/finanzas
Dolar en colombia: las proyecciones de cierre de final de ano ¿bajara de 4.400?,Economia/finanzas,Economia/finanzas
Remesas podrian superar ingresos por exportaciones de petroleo en 2025,Economia/finanzas,Economia/finanzas
Renta ciudadana y devolucion del iva: lo que debe saber de la nueva ronda de pagos,Economia/finanzas,Economia/finanzas
Salario minimo 2025: asi quedaria con el aumento propuesto por gustavo bolivar,Economia/finanzas,Economia/finanzas
¿cuantose gana con un cdt en el banco agrario?,Economia/finanzas,Economia/finanzas
"'es lo mas irresponsable que he visto': katherine miranda, sobre reforma al sgp",Economia/gobierno,Economia/gobierno
Camara niega ponencia de archivo al proyecto de reforma al sistema de participaciones,Economia/gobierno,Economia/gobierno
Caso ungrd: los funcionarios senalados en supuesto pacto para compra de congresistas,Economia/gobierno,Economia/gobierno
Como es el proceso para que colombia decida pedirles visa a ciudadanos extranjeros,Economia/gobierno,Mas contenido
Minambiente anuncia creacion de primera reserva natural temporal en zona minera,Economia/gobierno,Economia/gobierno
Reforma laboral: este es el documento que se debatira en la comision vii del senado,Economia/gobierno,Economia/gobierno
'hay que conversar en torno a nuevas fuentes de financiacion de infraestructura': cci,Economia/infraestructura,Economia/infraestructura
Canal del dique no empezara obras este diciembre sino hasta 2026,Economia/infraestructura,Emprendimiento
Inicia oficialmente la construccion de la 5g troncal magdalena 1,Economia/infraestructura,Sin categoría
"Plaza central, el primer centro comercial con leed platino o+m en colombia",Economia/infraestructura,Economia/infraestructura
Regiotram del norte vuelve a ver la luz: presentaran proyecto antes de finalizar el ano,Economia/infraestructura,Tendencias/sociales
Ahora el pasaporte se puede solicitar en los supercade de bogota,Economia/regiones,Economia/regiones
Avanza construccion de la hoja de ruta de transporte publico en via soacha- bogota,Economia/regiones,Economia/gobierno
El 62% de los jovenes en el pais apoya el uso de celulares en instituciones educativas,Economia/regiones,Economia/regiones
Esta es la 'startup' colombiana que recibira inversion del fondo de unicef,Emprendimiento,Emprendimiento
¿cual es la regulacion que tiene en vilo los proyectos de hidrogeno en colombia?,Energia,Energia
¿que paso durante el mantenimiento de la regasificadora spec?,Energia,Energia
¿que viene para las elecciones en ee. uu. (y su economia) tras sentencia contra trump?,Internacional,Internacional
Empresas hablaran de la proteccion a las infraestructuras criticas de colombia,Mas contenido,Mas contenido
"Ganaderia sostenible y biocombustibles, oportunidades clave para las regiones",Mas contenido,Mas contenido
